round,game_id,time,hall,home,guest,category
1,1,08:00,A,100,105,1
1,2,08:00,B,101,104,1
1,3,08:10,A,102,103,1
1,4,08:10,B,200,207,2
1,5,08:20,A,201,206,2
1,6,08:20,B,202,205,2
1,7,08:30,A,203,204,2
1,8,08:30,B,300,307,3
1,9,08:40,A,301,306,3
1,10,08:40,B,302,305,3
1,11,08:50,A,303,304,3
1,12,08:50,B,400,405,4
1,13,09:00,A,401,404,4
1,14,09:00,B,402,403,4
2,15,09:10,A,100,104,1
2,16,09:10,B,105,103,1
2,17,09:20,A,101,102,1
2,18,09:20,B,200,206,2
2,19,09:30,A,207,205,2
2,20,09:30,B,201,204,2
2,21,09:40,A,202,203,2
2,22,09:40,B,300,306,3
2,23,09:50,A,307,305,3
2,24,09:50,B,301,304,3
2,25,10:00,A,302,303,3
2,26,10:00,B,400,404,4
2,27,10:10,A,405,403,4
2,28,10:10,B,401,402,4
3,29,10:20,A,100,103,1
3,30,10:20,B,104,102,1
3,31,10:30,A,105,101,1
3,32,10:30,B,200,205,2
3,33,10:40,A,206,204,2
3,34,10:40,B,207,203,2
3,35,10:50,A,201,202,2
3,36,10:50,B,300,305,3
3,37,11:00,A,306,304,3
3,38,11:00,B,307,303,3
3,39,11:10,A,301,302,3
3,40,11:10,B,400,403,4
3,41,11:20,A,404,402,4
3,42,11:20,B,405,401,4
4,43,11:30,A,100,102,1
4,44,11:30,B,103,101,1
4,45,11:40,A,104,105,1
4,46,11:40,B,200,204,2
4,47,11:50,A,205,203,2
4,48,11:50,B,206,202,2
4,49,12:00,A,207,201,2
4,50,12:00,B,300,304,3
4,51,12:10,A,305,303,3
4,52,12:10,B,306,302,3
4,53,12:20,A,307,301,3
4,54,12:20,B,400,402,4
4,55,12:30,A,403,401,4
4,56,12:30,B,404,405,4
5,57,12:40,A,100,101,1
5,58,12:40,B,102,105,1
5,59,12:50,A,103,104,1
5,60,12:50,B,200,203,2
5,61,13:00,A,204,202,2
5,62,13:00,B,205,201,2
5,63,13:10,A,206,207,2
5,64,13:10,B,300,303,3
5,65,13:20,A,304,302,3
5,66,13:20,B,305,301,3
5,67,13:30,A,306,307,3
5,68,13:30,B,400,401,4
5,69,13:40,A,402,405,4
5,70,13:40,B,403,404,4
